"Dhat","inCI","Layout","GType"
18.4526129685141,TRUE,"transect","HalfNorm"
15.8046033144761,TRUE,"structured","Emperical"
16.5388218042336,TRUE,"random","Emperical"
14.2431298216155,TRUE,"transect","Emperical"
18.6960449267431,TRUE,"structured","HalfNorm"
23.5243324913746,TRUE,"random","HalfNorm"
17.2994598089203,TRUE,"transect","HalfNorm"
13.2277340449562,TRUE,"structured","Emperical"
16.799790384768,TRUE,"random","Emperical"
12.8136416587798,TRUE,"transect","Emperical"
17.8241815830665,TRUE,"structured","HalfNorm"
23.2303421543017,TRUE,"random","HalfNorm"
17.8408212003239,TRUE,"transect","HalfNorm"
15.0524939802024,TRUE,"structured","Emperical"
20.4132769486659,TRUE,"random","Emperical"
14.0366439075859,TRUE,"transect","Emperical"
17.9671560613145,TRUE,"structured","HalfNorm"
16.771633777407,TRUE,"random","HalfNorm"
15.6038944469624,TRUE,"transect","HalfNorm"
11.867378444424,TRUE,"structured","Emperical"
14.8630967520231,TRUE,"random","Emperical"
12.5315865448492,FALSE,"transect","Emperical"
21.2450188490838,TRUE,"structured","HalfNorm"
28.4108588502522,TRUE,"random","HalfNorm"
20.9509435099416,TRUE,"transect","HalfNorm"
14.1755798895917,TRUE,"structured","Emperical"
19.3415268771027,TRUE,"random","Emperical"
15.0007497508644,TRUE,"transect","Emperical"
18.945567721174,TRUE,"structured","HalfNorm"
21.0964550320577,TRUE,"random","HalfNorm"
16.2469687778267,TRUE,"transect","HalfNorm"
11.7820757747436,FALSE,"structured","Emperical"
15.7676887752695,TRUE,"random","Emperical"
9.0370122616107,FALSE,"transect","Emperical"
13.5650424023253,TRUE,"structured","HalfNorm"
19.7769610487129,TRUE,"random","HalfNorm"
20.7483343164371,TRUE,"transect","HalfNorm"
10.7360840504827,FALSE,"structured","Emperical"
16.7843316915431,TRUE,"random","Emperical"
17.0341692627169,TRUE,"transect","Emperical"
13.9983949942651,TRUE,"structured","HalfNorm"
11.4475640651914,TRUE,"random","HalfNorm"
16.4387135147955,TRUE,"transect","HalfNorm"
13.2885467038169,TRUE,"structured","Emperical"
12.5057365350744,FALSE,"random","Emperical"
13.3187044313144,TRUE,"transect","Emperical"
24.586051545867,TRUE,"structured","HalfNorm"
12.4324205586654,TRUE,"random","HalfNorm"
15.8730350712375,TRUE,"transect","HalfNorm"
19.9341895369763,TRUE,"structured","Emperical"
8.17633315370112,FALSE,"random","Emperical"
