Dhat,inCI,Layout,GType
18.25657918,TRUE,structured,HalfNorm
9.550207173,FALSE,random,HalfNorm
9.03315691,FALSE,transect,HalfNorm
14.1483718,TRUE,structured,Empirical
8.880430037,FALSE,random,Empirical
8.666625843,FALSE,transect,Empirical
11.09127432,FALSE,structured,HalfNorm
25.37485884,TRUE,random,HalfNorm
12.25714698,TRUE,transect,HalfNorm
10.03562741,FALSE,structured,Empirical
20.62794904,TRUE,random,Empirical
12.34140218,FALSE,transect,Empirical
26.20365069,TRUE,structured,HalfNorm
18.98111211,TRUE,random,HalfNorm
13.50713609,TRUE,transect,HalfNorm
20.15248065,TRUE,structured,Empirical
12.32785427,FALSE,random,Empirical
12.31470466,TRUE,transect,Empirical
26.86037934,TRUE,structured,HalfNorm
13.53135036,TRUE,random,HalfNorm
21.81320052,TRUE,transect,HalfNorm
17.92317446,TRUE,structured,Empirical
9.87436984,FALSE,random,Empirical
15.77044703,TRUE,transect,Empirical
15.35132562,TRUE,structured,HalfNorm
22.93902582,TRUE,random,HalfNorm
9.703466631,FALSE,transect,HalfNorm
11.497096,FALSE,structured,Empirical
15.52095189,TRUE,random,Empirical
8.41645643,FALSE,transect,Empirical
15.31112758,TRUE,structured,HalfNorm
12.58480944,TRUE,random,HalfNorm
22.17790759,TRUE,transect,HalfNorm
15.85028741,TRUE,structured,Empirical
11.51574352,FALSE,random,Empirical
14.24917432,TRUE,transect,Empirical
16.70024066,TRUE,structured,HalfNorm
18.00241105,TRUE,random,HalfNorm
17.21161617,TRUE,transect,HalfNorm
13.80592277,TRUE,structured,Empirical
13.8917832,TRUE,random,Empirical
12.39207965,TRUE,transect,Empirical
18.27014008,TRUE,structured,HalfNorm
18.55686734,TRUE,random,HalfNorm
14.27738104,TRUE,transect,HalfNorm
14.47488641,TRUE,structured,Empirical
10.65021311,FALSE,random,Empirical
12.37031009,FALSE,transect,Empirical
13.64748357,TRUE,structured,HalfNorm
22.36023485,TRUE,random,HalfNorm
18.46338836,TRUE,transect,HalfNorm
10.64871157,FALSE,structured,Empirical
21.24749494,TRUE,random,Empirical
17.40547356,TRUE,transect,Empirical
15.13931793,TRUE,structured,HalfNorm
11.04107804,TRUE,random,HalfNorm
12.01828678,TRUE,transect,HalfNorm
13.64308571,TRUE,structured,Empirical
8.192352675,FALSE,random,Empirical
7.440226079,FALSE,transect,Empirical
20.1696597,TRUE,structured,HalfNorm
13.56464946,TRUE,random,HalfNorm
18.46252708,TRUE,transect,HalfNorm
16.74426466,TRUE,structured,Empirical
10.16631569,FALSE,random,Empirical
13.81786153,TRUE,transect,Empirical
18.27842955,TRUE,structured,HalfNorm
18.98923716,TRUE,random,HalfNorm
18.13069917,TRUE,transect,HalfNorm
16.90448466,TRUE,structured,Empirical
15.49556806,TRUE,random,Empirical
16.09061613,TRUE,transect,Empirical
13.18399694,TRUE,structured,HalfNorm
26.26412083,TRUE,random,HalfNorm
23.24212447,TRUE,transect,HalfNorm
10.19784936,FALSE,structured,Empirical
17.49560742,TRUE,random,Empirical
19.39719966,TRUE,transect,Empirical
19.39359031,TRUE,structured,HalfNorm
19.5415845,TRUE,random,HalfNorm
14.54875758,TRUE,transect,HalfNorm
17.62237908,TRUE,structured,Empirical
13.5479428,TRUE,random,Empirical
13.06662532,TRUE,transect,Empirical
19.15776385,TRUE,structured,HalfNorm
17.13222805,TRUE,random,HalfNorm
9.030128127,FALSE,transect,HalfNorm
17.05114241,TRUE,structured,Empirical
9.877233074,FALSE,random,Empirical
