"D.hnorm.S","D.hnorm.R","D.hnorm.T","D.emp.S","D.emp.R","D.emp.T"
21.0391363242426,18.7324166507833,15.8727635349712,13.7854569834588,14.0972323216036,12.2400412709374
16.5239652976022,21.8477670007655,20.0385023225568,14.1156462154904,17.3735574019028,18.7867632956581
22.1476933220737,20.3903420481783,19.8776358574165,12.3934013045691,15.9737479762107,16.5878975746972
19.3557319158546,27.5513952877404,18.4353106395001,12.9244807360269,23.0305210664732,13.6730641504989
23.4388649248582,14.6033536696571,29.1162923563817,18.1091443017191,13.7255445001766,20.4317360917834
19.7558025766181,15.7309452450283,14.904633161458,16.141414904529,10.7909885469208,16.0459894557774
15.195580498811,26.6346027466932,14.4213584100583,16.9481228508002,20.7269963228244,10.7998516462389
14.4191817251216,15.2839771016218,15.2197871428809,15.2729473301515,12.0070397271957,13.0486142801516
13.6311397599599,16.857810239819,16.4900538531578,11.2992598460122,11.9175592563334,12.6836634287468
8.75329686885679,20.4212980875585,23.0023892027076,8.39628411273479,14.164151377396,20.3514672239905
24.2962614931197,10.7733965405816,13.0572946146635,20.728451799542,9.98093992763511,10.2825707369897
16.9470722140053,16.4175979621191,12.2157411585535,17.7243705670954,10.5811161772272,13.2110386639683
15.8363619644617,16.2389964939054,17.3340510931233,16.0593405274794,13.3856377069871,12.7625693325059
25.4147321732006,18.5106650087331,23.1933700242016,15.9921143988497,13.6431930961886,20.6970343889667
19.401757602202,12.1960148939078,16.1931914184108,13.0734424203586,13.8556332860237,10.1580357678529
22.8584764176398,15.7507429388781,23.4810430886201,17.1148423195305,9.84402917605027,16.3723116083732
14.4832777009709,17.4732444069579,24.2389296333438,11.624018620068,17.1298579590282,18.3781822144514
12.4532797056165,15.0403442102403,22.70601518471,12.0953415179438,15.5591506852298,18.5560088722967
18.7283663243539,28.2432006786584,15.958529938035,12.9944455304644,16.4756027676097,14.3153344037947
18.7737871709489,19.4734702547754,6.44151745579624,14.4627243985056,18.5837523363168,6.57618588962478
14.0327323244546,14.8911270363407,13.2903162844624,11.186975349447,13.5428340571731,11.4677426730059
16.7522175501527,22.8852363136522,22.3285149735058,11.3144370055047,17.2448195359712,20.1589103423513
15.2215322401266,22.7367563850718,19.4793235656363,13.6803003497458,17.6236387308069,14.5498039275758
19.1059994201717,20.4583223256859,21.4628118499623,16.1563241943955,15.6388227406604,17.9631114736938
17.4346662931233,18.2376066785758,21.9971350086966,13.249838015716,14.1078288493865,18.0954876237143
17.005963709426,16.600837165917,10.2631254055768,12.1003805619371,12.1291627815423,11.7018943178736
15.3209060087675,16.6664546861481,16.2085740765234,13.4185887296502,13.4159795348825,14.5570237283702
16.1046129504048,16.4807436362157,16.6614396675955,14.5470950592801,11.6869366608896,11.7811129964771
13.8499472075357,27.9476403944089,21.2303249865515,11.186608716861,17.098292022424,21.3813352061759
20.2385041565751,13.7542276122941,13.469794015999,14.3645473917363,14.4379062391054,12.5493816838115
19.8776874079316,20.6346123674667,16.1878629245646,16.1361075182602,13.2740080095966,13.070856440722
26.4033340279592,9.97579468435477,15.9720043992812,18.8715416637838,13.9077537162137,10.5945020848251
15.562662634269,15.6668357693147,22.2045841335041,15.9622262001473,12.8195369570166,16.3048477805818
19.5684486089662,17.2490871809808,16.1806317373522,18.6643611999734,12.7583678178139,13.0122835558566
12.2171508829679,14.9977689339869,11.4815989116909,8.61046874996413,14.040337305539,7.88289416493238
9.18718461557715,22.6992289180305,14.7217955640404,6.61795892326145,15.2053499284043,12.069429065751
16.5700073094422,15.8107046295647,26.3488535360464,11.197306896077,12.9630917910868,15.0093298899869
21.2761436340777,11.621096139844,14.7462768499208,16.1086497479272,12.8287061147162,11.1519424309513
16.3325449807455,20.9977757397472,14.8009832234649,13.9583653085774,16.1802112580048,13.7469993933745
25.5501502910036,11.3471318864117,10.1520429487037,20.0481061049044,13.756919862837,6.96123866698884
22.7577396440251,16.2940484154232,16.9269205522098,15.7321026073686,14.7797807982455,14.5505597505887
16.8184908590776,17.7535977233137,14.7389072818403,13.3134698851844,12.9437894954082,11.5092239634702
15.8124446076752,10.8516475402714,19.2677087561633,12.1589848044094,7.76398726612405,10.0906537977295
18.5231881151768,15.8502623327665,15.2584020458466,16.2424451600965,13.3297182249344,16.9877131560512
22.5428090371785,20.6626230973121,17.962326389584,18.9126098474819,17.1217803731396,11.3902680930661
22.6246544288987,16.2405484850627,10.3763433992851,14.7457107188874,13.4072118511635,10.7921547967009
22.6979673111276,13.3060008052025,15.3523513488969,11.677552473831,8.43604714426685,14.6776259224703
20.1770445368245,13.1113871960989,24.8500892139653,13.3477388047554,12.6288839160983,18.0802748782041
19.7791206957366,10.481398934866,15.8453239373632,17.2583243410247,7.63863367053496,11.9137170442271
17.8126792262686,15.5159917887004,24.7351893524242,12.9819578732504,11.9709556224998,18.8136419903864
18.1256000678672,16.0398310699486,18.2856893396585,16.8126941276152,17.8971209834676,12.9369238479863
16.8198687468895,19.5776458928391,15.5255051432377,15.7046335912702,19.8115095924651,13.7482576635082
16.9709545185889,18.7138231631071,15.1800436751999,8.96936985297016,15.1182554119832,12.8316978240061
23.4674612861322,21.9884207549126,17.2357444940273,18.1589796799309,18.3895374482213,15.3612605108035
14.2252080740446,24.6006997672397,15.8918506807329,11.5519974438828,13.088863464581,13.4918288345464
16.2140792845729,26.0394935694439,19.6731288165769,12.6374153677803,21.3672421957415,13.4222056620548
18.2376436750197,15.2772986737103,18.8955387663663,13.7044282756191,11.1199199200546,15.7736597471333
14.221234032899,16.716275150164,12.0795012303202,14.5981031256035,14.643477270176,5.55469871665935
21.6245436189923,10.2357103258673,22.2419872308894,14.3741156650786,8.07373764171771,19.4094778790117
12.420225297521,22.4281488345915,20.2710095171775,10.3365300789591,16.9118429122283,16.5681908833958
22.6990809106788,25.4196490281742,11.4372947719766,16.4932025806203,18.0867973980285,9.84619971350305
22.8680723686372,18.3111081888054,18.1007822513303,13.8516637414675,8.63649680462191,9.38796941564433
12.7384559010641,15.6702655493914,13.4417516336887,12.0456205500656,17.1611261288554,11.9041752145541
14.8870322088307,22.4462491560184,16.5177036683697,14.3341010942899,13.8114391278122,15.2139207700704
11.3634177986905,25.5459567719044,13.6461837631965,10.1560004100626,16.8442449289715,9.51082037950939
12.0580841850734,15.4987769549525,9.03710896971984,9.01630334317817,12.7527919299264,9.24664502660607
20.3139041517615,18.7234282873952,10.0569931818262,14.5467231075793,15.6120748623644,9.55212075339276
20.8322511580094,16.3132893675865,16.4658933637607,12.696792710686,12.1229761390635,16.3295458881447
19.8682702328702,16.4266092661597,23.195652607513,8.77035021006022,15.6447435786312,16.3229353331394
27.7103280273813,16.4329548614486,16.243184015194,23.168467227237,14.0640109615358,12.4546304006315
16.8121412550895,17.0705258860965,21.1609228866984,18.6562752105167,9.71473900865543,13.0935910622686
18.7260675517857,17.4833254776556,15.5578276151164,14.3725107294424,12.0911841316574,14.682977275617
12.8283591450505,9.6795335621324,19.3447148599594,11.8199804389828,5.35216795754565,14.8876072988485
18.5961892973311,16.5092458043312,17.1612470660762,10.5621200970976,9.26135722332712,15.0972166858112
17.4658161340162,19.9361724101137,19.030833440299,18.0697020486625,17.976429114455,15.2073214044391
18.3000859458538,23.8188628436116,16.6856199402744,12.5984617707302,16.9230617474815,14.7808740020897
17.8611292439828,16.6187350741384,20.6197752024926,16.7971037364861,14.6051433880462,11.5185727226645
16.0490844834785,23.7936370162909,22.8413451517473,13.9073505665678,17.5237557197077,18.6336346792494
14.2340585932254,21.6764127174984,18.3933758520628,11.4195337922776,14.920415871609,15.4262832457918
14.8308711594688,16.3694384468639,20.6909986331003,10.7022990871635,17.6456213805717,15.7812760074564
24.6838971912354,19.9245321186587,14.3069165149277,14.3940418201952,15.147636814428,11.3023330045158
21.4000203842904,16.0597239057703,22.8268397890078,19.7013921446089,14.3370788175308,16.9685438243503
12.8913003724159,14.8854004587272,19.1147649927332,13.839608137665,10.2772246149764,16.0887068212546
18.5320360265269,19.8575924102451,13.1034295615228,16.0960981847923,15.5508726358464,9.67819753417275
6.47632265814745,18.4993668041718,17.6980183285316,6.67961667874247,17.4914127148101,15.3974971007232
14.2135420121349,24.7557690796118,15.0801812421265,15.0927470913516,14.2014239446044,14.9556169942892
