"Dhat","inCI","Layout","MoveType"
17.2292126384291,TRUE,"transect","TempMove"
10.4597554463179,FALSE,"structured","PermMove"
14.8460540016357,TRUE,"random","PermMove"
14.7401514854173,TRUE,"transect","PermMove"
22.2466308143321,TRUE,"structured","NoMove"
14.8689881499654,TRUE,"random","NoMove"
22.5599657167627,TRUE,"transect","NoMove"
15.7857873859758,TRUE,"structured","TempMove"
14.6261643914661,TRUE,"random","TempMove"
16.3566260977658,TRUE,"transect","TempMove"
17.5243424842689,TRUE,"structured","PermMove"
11.5925425279432,TRUE,"random","PermMove"
16.2491801206423,TRUE,"transect","PermMove"
10.8788070078939,TRUE,"structured","NoMove"
17.1315087905085,TRUE,"random","NoMove"
22.43867569492,TRUE,"transect","NoMove"
8.69233183289728,FALSE,"structured","TempMove"
12.3494462502344,TRUE,"random","TempMove"
19.2115925264763,TRUE,"transect","TempMove"
6.77498627215488,FALSE,"structured","PermMove"
9.53674214542574,FALSE,"random","PermMove"
22.3310674427828,TRUE,"transect","PermMove"
25.1010333582056,TRUE,"structured","NoMove"
25.3742259856534,TRUE,"random","NoMove"
26.6814301730548,TRUE,"transect","NoMove"
15.1036563834411,TRUE,"structured","TempMove"
16.9056630952542,TRUE,"random","TempMove"
19.3584171597376,TRUE,"transect","TempMove"
13.1114675699431,TRUE,"structured","PermMove"
16.5172411810984,TRUE,"random","PermMove"
11.3180024344683,TRUE,"transect","PermMove"
18.1389665470267,TRUE,"structured","NoMove"
20.3147038844085,TRUE,"random","NoMove"
18.5605680022797,TRUE,"transect","NoMove"
14.8704872724903,TRUE,"structured","TempMove"
14.7836615529692,TRUE,"random","TempMove"
12.2719574399266,TRUE,"transect","TempMove"
11.6409740667278,TRUE,"structured","PermMove"
15.3656885183596,TRUE,"random","PermMove"
14.8897702962417,TRUE,"transect","PermMove"
25.8024188885135,TRUE,"structured","NoMove"
17.3935614270836,TRUE,"random","NoMove"
16.1050898211957,TRUE,"transect","NoMove"
20.9198345667673,TRUE,"structured","TempMove"
13.8419830200392,TRUE,"random","TempMove"
7.58668286489317,FALSE,"transect","TempMove"
18.5024849917942,TRUE,"structured","PermMove"
9.57568150405654,FALSE,"random","PermMove"
10.2305735913804,TRUE,"transect","PermMove"
20.2251652661983,TRUE,"structured","NoMove"
18.0354598411706,TRUE,"random","NoMove"
23.0743345488867,TRUE,"transect","NoMove"
13.4137520573516,TRUE,"structured","TempMove"
10.4300158066515,TRUE,"random","TempMove"
15.3752418589546,TRUE,"transect","TempMove"
10.0899180480411,FALSE,"structured","PermMove"
8.19082071552955,FALSE,"random","PermMove"
19.7416018101931,TRUE,"transect","PermMove"
17.246578179975,TRUE,"structured","NoMove"
15.4951564061222,TRUE,"random","NoMove"
18.9468268345664,TRUE,"transect","NoMove"
12.6682662424122,TRUE,"structured","TempMove"
8.29733761743385,FALSE,"random","TempMove"
12.4005850830306,TRUE,"transect","TempMove"
19.049985576141,TRUE,"structured","PermMove"
6.96685054357801,FALSE,"random","PermMove"
11.8530496591314,TRUE,"transect","PermMove"
29.9599736567425,FALSE,"structured","NoMove"
15.6957804722677,TRUE,"random","NoMove"
25.5563571493919,TRUE,"transect","NoMove"
14.3771619954487,TRUE,"structured","TempMove"
10.5976774390105,FALSE,"random","TempMove"
16.1129172027489,TRUE,"transect","TempMove"
19.257328705941,TRUE,"structured","PermMove"
10.6356872000599,FALSE,"random","PermMove"
18.6982952501833,TRUE,"transect","PermMove"
14.05087571944,TRUE,"structured","NoMove"
12.4135022155733,TRUE,"random","NoMove"
11.1475881979582,TRUE,"transect","NoMove"
9.9797928378538,FALSE,"structured","TempMove"
12.7335401132701,TRUE,"random","TempMove"
10.9236351280425,FALSE,"transect","TempMove"
9.08306199536238,FALSE,"structured","PermMove"
12.6336026672954,TRUE,"random","PermMove"
11.7476547540927,TRUE,"transect","PermMove"
22.6592026771746,TRUE,"structured","NoMove"
25.2970508181922,TRUE,"random","NoMove"
12.8750685397204,TRUE,"transect","NoMove"
14.0697778222891,TRUE,"structured","TempMove"
15.2719164022975,TRUE,"random","TempMove"
11.5807980904452,FALSE,"transect","TempMove"
10.7657048943603,TRUE,"structured","PermMove"
16.8396631881759,TRUE,"random","PermMove"
12.9635235059444,TRUE,"transect","PermMove"
16.9869885536812,TRUE,"structured","NoMove"
8.86351963679756,FALSE,"random","NoMove"
15.6922387167668,TRUE,"transect","NoMove"
14.1803201821841,TRUE,"structured","TempMove"
4.97412788709189,FALSE,"random","TempMove"
10.8041369217903,FALSE,"transect","TempMove"
11.0303878302346,FALSE,"structured","PermMove"
3.57291789864524,FALSE,"random","PermMove"
15.0651998145613,TRUE,"transect","PermMove"
15.0572596935447,TRUE,"structured","NoMove"
16.2093218822299,TRUE,"random","NoMove"
10.1672441216021,FALSE,"transect","NoMove"
10.8175563267059,TRUE,"structured","TempMove"
10.5477043675039,FALSE,"random","TempMove"
8.62902760032101,FALSE,"transect","TempMove"
11.9140092080747,TRUE,"structured","PermMove"
11.37685061567,TRUE,"random","PermMove"
6.29080291050679,FALSE,"transect","PermMove"
17.6135398825314,TRUE,"structured","NoMove"
20.9174667262274,TRUE,"random","NoMove"
25.193463654597,TRUE,"transect","NoMove"
10.8789476332165,TRUE,"structured","TempMove"
9.0680659437582,FALSE,"random","TempMove"
12.4528005210032,TRUE,"transect","TempMove"
12.1009536755645,TRUE,"structured","PermMove"
9.84992107997159,TRUE,"random","PermMove"
14.6155023197502,TRUE,"transect","PermMove"
